Dataset,Stage,OLMo-2,OLMo-3,OLMo-3 Think
false_reject,base,1.0% (0.0),3.2% (0.0),4.4% (0.0)
false_reject,sft,52.6% (+51.6),45.2% (+42.0),19.4% (+15.0)
false_reject,dpo,33.0% (-19.6),19.2% (-26.0),9.6% (-9.8)
false_reject,final,34.0% (+1.0),21.6% (+2.4),13.4% (+3.8)
or_bench,base,2.8% (0.0),4.4% (0.0),6.0% (0.0)
or_bench,sft,16.2% (+13.4),17.6% (+13.2),10.4% (+4.4)
or_bench,dpo,9.0% (-7.2),6.0% (-11.6),7.4% (-3.0)
or_bench,final,8.8% (-0.2),7.4% (+1.4),10.8% (+3.4)
toxicchat,base,10.8% (0.0),17.6% (0.0),19.8% (0.0)
toxicchat,sft,34.9% (+24.1),28.0% (+10.4),26.4% (+6.6)
toxicchat,dpo,33.1% (-1.8),27.4% (-0.6),25.4% (-1.0)
toxicchat,final,33.9% (+0.8),28.2% (+0.8),34.0% (+8.6)
